id,first_name,last_name,gender,email,address,country,nationality,generation,date_of_birth,wealth_tier,net_worth_usd,monthly_income_usd,internet_frequency,monthly_internet_spend_usd,food_living_pct,tech_pct,lifestyle_pct,travel_pct,investment_pct,food_living_usd,tech_usd,lifestyle_usd,travel_usd,investment_usd
11,Fang,Liu,male,fang.liu256.cn@gmail.com,"20 Dongfeng Rd, Suzhou",china,CN,millennial,1982-07-24,bottom_50,22078.42,2207.84,often,5.15,79.15,11.58,6.61,2.66,0.0,1747.51,255.67,145.94,58.73,0.0
12,Yang,Zhao,male,yang.zhao714.cn@gmail.com,"188 Xinhua St, Xi'an",china,CN,millennial,1986-07-16,top_25,101959.87,4078.39,always,33.39,47.98,14.4,12.14,11.54,13.94,1956.81,587.29,495.12,470.65,568.53
13,Yun,Li,female,yun.li610.cn@gmail.com,"18 Zhongshan Ave, Wuhan",china,CN,boomer,1956-01-02,bottom_50,63353.48,6335.35,sometimes,9.03,72.03,8.71,13.16,6.1,0.0,4563.35,551.81,833.73,386.46,0.0
14,Hui,Zhang,female,hui.zhang661.cn@gmail.com,"77 Dongfeng Rd, Hangzhou",china,CN,gen_z,2003-11-19,top_10,510502.52,6381.28,often,75.38,32.66,18.8,20.02,9.82,18.7,2084.13,1199.68,1277.53,626.64,1193.3
15,Ebba,Nilsson,female,ebba.nilsson827.se@gmail.com,"168 Odengatan, Stockholm",swe,SE,gen_z,1998-09-07,top_1,122106.35,610.53,often,837.91,15.28,16.48,23.4,16.72,28.12,93.29,100.62,142.86,102.08,171.68
16,Jacques,Leroy,male,jacques.leroy501.fr@gmail.com,"65 Rue de la Paix, Lyon",fr,FR,boomer,1949-02-24,top_25,942028.25,37681.13,once,53.39,49.77,3.92,17.84,13.57,14.9,18753.9,1477.1,6722.31,5113.33,5614.49
17,Jacques,Leroy,male,jacques.leroy152.fr@gmail.com,"111 Rue Saint-Honore, Paris",fr,FR,gen_z,1999-12-15,top_10,189866.96,2373.34,often,93.63,35.33,14.42,24.97,9.55,15.73,838.5,342.24,592.62,226.65,373.33
18,Nancy,Miller,female,nancy.miller167.us@gmail.com,"46 Park Ave, New York",usa,US,boomer,1953-11-04,top_10,6004523.33,75056.54,often,313.3,25.53,14.05,17.06,20.81,22.55,19161.93,10545.44,12804.65,15619.27,16925.25
19,Tao,Wu,male,tao.wu676.cn@gmail.com,"50 Jiefang Rd, Hangzhou",china,CN,boomer,1951-12-04,top_1,1071965.18,5359.83,once,396.76,21.01,14.46,11.17,18.54,34.82,1126.1,775.03,598.69,993.71,1866.29
20,Rui,Ma,male,rui.ma747.cn@gmail.com,"81 Jiefang Rd, Nanjing",china,CN,boomer,1963-06-01,bottom_50,12508.7,1250.87,often,4.67,78.3,7.89,6.84,6.97,0.0,979.43,98.69,85.56,87.19,0.0
21,Lars,Hansson,male,lars.hansson339.se@gmail.com,"160 Gotgatan, Gothenburg",swe,SE,boomer,1946-09-26,bottom_50,273338.69,27333.87,sometimes,19.36,78.35,4.21,6.75,10.69,0.0,21416.09,1150.76,1845.04,2921.99,0.0
22,Henry,Roberts,male,henry.roberts1.uk@gmail.com,"78 Manor Rd, Leeds",uk,GB,gen_z,2005-03-07,bottom_50,19891.32,1989.13,always,17.39,73.02,10.82,14.04,2.12,0.0,1452.46,215.22,279.27,42.17,0.0
23,Donald,Miller,male,donald.miller318.us@gmail.com,"58 Cedar Ln, Chicago",usa,US,millennial,1996-12-06,top_25,418457.36,16738.29,sometimes,69.32,49.12,8.5,17.69,11.39,13.3,8221.85,1422.75,2961.0,1906.49,2226.19
24,Na,Hu,female,na.hu789.cn@gmail.com,"28 Jiefang Rd, Guangzhou",china,CN,millennial,1994-11-19,bottom_50,12651.9,1265.19,sometimes,6.49,73.23,11.91,12.91,1.95,0.0,926.5,150.68,163.34,24.67,0.0
25,Tao,Liu,male,tao.liu929.cn@gmail.com,"141 Dongfeng Rd, Shenzhen",china,CN,millennial,1995-03-26,top_1,767176.91,3835.88,always,431.9,18.92,18.29,11.93,14.36,36.5,725.75,701.58,457.62,550.83,1400.1
26,Leo,White,male,leo.white237.uk@gmail.com,"99 Victoria Rd, Leeds",uk,GB,gen_z,2004-11-08,bottom_50,12991.21,1299.12,once,12.52,68.44,9.12,20.42,2.02,0.0,889.12,118.48,265.28,26.24,0.0
27,Ming,Zhu,male,ming.zhu914.cn@gmail.com,"108 Xinhua St, Suzhou",china,CN,millennial,1993-10-23,bottom_50,1270.94,127.09,often,6.95,82.34,5.57,10.61,1.48,0.0,104.65,7.08,13.48,1.88,0.0
28,Thomas,Smith,male,thomas.smith404.uk@gmail.com,"152 Mill Lane, London",uk,GB,millennial,1993-06-22,top_10,1063052.94,13288.16,often,153.33,33.04,11.22,22.93,14.03,18.78,4390.41,1490.93,3046.98,1864.33,2495.52
29,Jun,Ma,male,jun.ma20.cn@gmail.com,"192 Xinhua St, Shanghai",china,CN,boomer,1956-04-15,bottom_50,35446.1,3544.61,sometimes,5.89,83.77,2.54,7.48,6.21,0.0,2969.32,90.03,265.14,220.12,0.0
30,Maria,Andersson,female,maria.andersson786.se@gmail.com,"95 Drottninggatan, Norrkoping",swe,SE,millennial,1988-04-27,bottom_50,2136.6,213.66,once,10.22,71.87,7.16,12.56,8.41,0.0,153.56,15.3,26.84,17.97,0.0
31,Lucie,Thomas,female,lucie.thomas309.fr@gmail.com,"176 Boulevard Saint-Germain, Lyon",fr,FR,gen_z,2006-01-10,top_25,85412.53,3416.5,always,46.46,51.9,10.95,19.91,6.29,10.95,1773.16,374.11,680.23,214.9,374.11
32,Freya,Williams,female,freya.williams157.uk@gmail.com,"112 Victoria Rd, Edinburgh",uk,GB,gen_z,2005-11-11,top_25,48152.44,1926.1,sometimes,56.0,44.69,9.63,26.43,9.8,9.45,860.77,185.48,509.07,188.76,182.02
33,Ida,Bengtsson,female,ida.bengtsson625.se@gmail.com,"172 Sveavagen, Orebro",swe,SE,boomer,1959-12-19,bottom_50,136247.77,13624.78,often,21.19,76.47,6.29,8.18,9.06,0.0,10418.87,857.0,1114.51,1234.41,0.0
34,Jun,Xu,male,jun.xu729.cn@gmail.com,"126 Dongfeng Rd, Shanghai",china,CN,gen_z,2001-10-23,top_10,653926.45,8174.08,often,91.88,31.6,21.57,18.33,12.53,15.97,2583.01,1763.15,1498.31,1024.21,1305.4
35,Yi,Sun,male,yi.sun739.cn@gmail.com,"50 Changan Ave, Beijing",china,CN,millennial,1996-09-17,bottom_50,22368.29,2236.83,always,6.81,80.14,7.9,10.6,1.36,0.0,1792.6,176.71,237.1,30.42,0.0
36,Thomas,Thomas,male,thomas.thomas567.uk@gmail.com,"75 Victoria Rd, Sheffield",uk,GB,millennial,1990-02-27,top_1,1773853.56,8869.27,often,665.0,16.62,11.55,19.77,11.26,40.8,1474.07,1024.4,1753.45,998.68,3618.66
37,Bo,Yang,male,bo.yang577.cn@gmail.com,"78 Wangfujing St, Guangzhou",china,CN,gen_z,1997-05-28,bottom_50,56644.83,5664.48,often,6.0,74.63,12.37,12.67,0.33,0.0,4227.4,700.7,717.69,18.69,0.0
38,Yu,He,female,yu.he271.cn@gmail.com,"170 Wangfujing St, Shenzhen",china,CN,millennial,1993-08-15,top_10,217811.86,2722.65,often,85.95,32.44,16.59,20.81,11.57,18.59,883.23,451.69,566.58,315.01,506.14
39,Zhen,Guo,male,zhen.guo604.cn@gmail.com,"170 Zhongshan Ave, Wuhan",china,CN,gen_z,2001-01-08,top_25,157314.77,6292.59,sometimes,32.07,35.12,18.71,23.92,4.45,17.8,2209.96,1177.34,1505.19,280.02,1120.08
40,Jian,Zhang,male,jian.zhang506.cn@gmail.com,"113 Wangfujing St, Nanjing",china,CN,gen_z,1997-03-26,bottom_50,36473.84,3647.38,often,6.92,73.17,13.69,10.95,2.19,0.0,2668.79,499.33,399.39,79.88,0.0
41,Yang,Zhao,male,yang.zhao668.cn@gmail.com,"114 Huaihai Rd, Shenzhen",china,CN,gen_z,2007-10-19,bottom_50,112735.68,11273.57,always,7.57,72.97,13.0,13.94,0.09,0.0,8226.32,1465.56,1571.54,10.15,0.0
42,Ida,Jonsson,female,ida.jonsson564.se@gmail.com,"10 Birger Jarlsgatan, Gothenburg",swe,SE,boomer,1959-06-11,bottom_50,340185.23,34018.52,often,13.44,73.82,5.19,7.92,13.07,0.0,25112.47,1765.56,2694.27,4446.22,0.0
43,Paul,Smith,male,paul.smith135.us@gmail.com,"74 Lake Dr, San Diego",usa,US,boomer,1963-08-14,bottom_50,59624.49,5962.45,sometimes,18.1,77.6,2.2,10.99,9.21,0.0,4626.86,131.17,655.27,549.14,0.0
44,Hao,Zhou,male,hao.zhou280.cn@gmail.com,"107 Dongfeng Rd, Xi'an",china,CN,millennial,1981-09-14,top_1,471776.9,2358.88,always,636.45,21.03,15.05,22.34,8.29,33.29,496.07,355.01,526.97,195.55,785.27
45,Xue,Chen,female,xue.chen602.cn@gmail.com,"149 Dongfeng Rd, Shenzhen",china,CN,millennial,1983-05-25,top_25,125613.7,5024.55,sometimes,34.57,44.52,9.4,20.74,7.21,18.13,2236.93,472.31,1042.09,362.27,910.95
46,Betty,Moore,female,betty.moore391.us@gmail.com,"99 Maple Dr, San Diego",usa,US,gen_z,2002-04-23,bottom_50,8095.03,809.5,sometimes,22.65,76.31,11.13,8.36,4.2,0.0,617.73,90.1,67.67,34.0,0.0
47,Anders,Bengtsson,male,anders.bengtsson639.se@gmail.com,"178 Sveavagen, Gothenburg",swe,SE,boomer,1949-09-15,bottom_50,7791.02,779.1,once,22.18,78.23,5.08,9.85,6.84,0.0,609.49,39.58,76.74,53.29,0.0
48,Oisin,Lynch,male,oisin.lynch455.ie@gmail.com,"43 Baggot St, Dublin",ire,IE,boomer,1963-01-20,top_10,1844839.66,23060.5,often,281.45,37.1,8.88,18.24,18.64,17.14,8555.45,2047.77,4206.24,4298.48,3952.57
49,Jian,Zhao,male,jian.zhao598.cn@gmail.com,"37 Zhongshan Ave, Xi'an",china,CN,gen_z,2005-07-19,top_10,563600.21,7045.0,sometimes,68.99,29.14,22.05,25.51,10.06,13.24,2052.91,1553.42,1797.18,708.73,932.76
50,Julie,Moreau,female,julie.moreau394.fr@gmail.com,"124 Avenue Foch, Toulouse",fr,FR,millennial,1986-02-15,bottom_50,183698.04,18369.8,always,10.92,83.45,2.96,7.73,5.86,0.0,15329.6,543.75,1419.99,1076.47,0.0
51,Mary,Thomas,female,mary.thomas822.us@gmail.com,"91 Cedar Ln, Houston",usa,US,gen_z,2001-01-19,bottom_50,29324.05,2932.4,often,26.85,75.47,6.41,15.26,2.86,0.0,2213.08,187.97,447.48,83.87,0.0
52,Camille,Thomas,female,camille.thomas136.fr@gmail.com,"139 Avenue Montaigne, Bordeaux",fr,FR,millennial,1982-05-26,top_25,308567.11,12342.68,often,58.1,45.01,10.42,23.47,11.3,9.8,5555.44,1286.11,2896.83,1394.72,1209.58
53,Ashley,Wilson,female,ashley.wilson375.us@gmail.com,"24 Park Ave, New York",usa,US,gen_z,2008-06-26,bottom_50,3904.02,390.4,always,10.93,76.6,6.99,10.82,5.59,0.0,299.05,27.29,42.24,21.82,0.0
54,Zhen,Gao,female,zhen.gao65.cn@gmail.com,"163 Dongfeng Rd, Chengdu",china,CN,millennial,1993-11-12,bottom_50,7050.08,705.01,once,3.0,77.89,12.21,6.6,3.3,0.0,549.13,86.08,46.53,23.27,0.0
55,Maxime,Thomas,male,maxime.thomas159.fr@gmail.com,"107 Avenue Foch, Montpellier",fr,FR,gen_z,1998-04-18,bottom_50,6711.16,671.12,sometimes,15.11,82.82,7.59,8.43,1.16,0.0,555.82,50.94,56.58,7.78,0.0
56,Isabelle,Garcia,female,isabelle.garcia992.fr@gmail.com,"32 Rue de Passy, Lyon",fr,FR,gen_z,2004-04-28,top_1,436919.42,2184.6,always,718.29,21.5,13.46,20.09,15.75,29.2,469.69,294.05,438.89,344.07,637.9
57,Nicolas,Durand,male,nicolas.durand880.fr@gmail.com,"38 Rue Saint-Honore, Bordeaux",fr,FR,millennial,1985-10-07,top_25,212119.26,8484.77,often,40.69,46.33,12.75,18.26,11.44,11.22,3930.99,1081.81,1549.32,970.66,951.99
58,Wei,Sun,male,wei.sun371.cn@gmail.com,"132 Guanghua Rd, Beijing",china,CN,millennial,1988-10-11,bottom_50,1026.88,102.69,once,4.25,77.49,9.0,9.56,3.95,0.0,79.57,9.24,9.82,4.06,0.0
59,Dorothy,Wilson,female,dorothy.wilson83.us@gmail.com,"83 River Rd, Chicago",usa,US,millennial,1995-11-01,bottom_50,11322.04,1132.2,sometimes,15.02,82.02,5.22,7.0,5.76,0.0,928.63,59.1,79.25,65.21,0.0
60,Lan,Ma,female,lan.ma221.cn@gmail.com,"111 Dongfeng Rd, Guangzhou",china,CN,millennial,1990-08-17,bottom_50,39395.12,3939.51,once,7.77,79.74,12.11,5.7,2.45,0.0,3141.37,477.07,224.55,96.52,0.0
61,Lisa,Hernandez,female,lisa.hernandez757.us@gmail.com,"96 Maple Dr, Dallas",usa,US,millennial,1991-11-09,top_10,1324082.95,16551.04,sometimes,332.02,23.35,17.63,22.4,16.01,20.61,3864.67,2917.95,3707.43,2649.82,3411.17
62,Rong,Sun,female,rong.sun377.cn@gmail.com,"30 Huaihai Rd, Nanjing",china,CN,millennial,1994-12-02,top_1,1167811.55,5839.06,always,353.71,19.53,13.01,17.4,9.61,40.45,1140.37,759.66,1016.0,561.13,2361.9
63,Hui,Luo,female,hui.luo891.cn@gmail.com,"37 Guanghua Rd, Wuhan",china,CN,millennial,1981-10-22,bottom_50,53973.01,5397.3,once,4.69,83.2,8.91,6.13,1.76,0.0,4490.55,480.9,330.85,94.99,0.0
64,Rui,Huang,male,rui.huang162.cn@gmail.com,"194 Guanghua Rd, Shanghai",china,CN,boomer,1958-07-15,top_25,147883.85,5915.35,sometimes,28.83,47.7,10.91,12.18,11.11,18.1,2821.62,645.36,720.49,657.2,1070.68
65,Alexandre,Michel,male,alexandre.michel226.fr@gmail.com,"102 Boulevard Saint-Germain, Paris",fr,FR,millennial,1989-04-25,bottom_50,99569.89,9956.99,once,8.21,82.74,1.72,9.27,6.27,0.0,8238.41,171.26,923.01,624.3,0.0
66,Jun,Zhou,male,jun.zhou760.cn@gmail.com,"11 Jiefang Rd, Shanghai",china,CN,gen_z,2002-02-01,bottom_50,58975.48,5897.55,sometimes,4.27,75.25,13.62,9.39,1.74,0.0,4437.91,803.25,553.78,102.62,0.0
67,Matthew,Hernandez,male,matthew.hernandez865.us@gmail.com,"28 Cedar Ln, San Antonio",usa,US,gen_z,2001-02-13,bottom_50,707.0,70.7,sometimes,21.37,72.24,7.41,17.38,2.97,0.0,51.07,5.24,12.29,2.1,0.0
68,Christopher,Davis,male,christopher.davis150.us@gmail.com,"66 Cedar Ln, Chicago",usa,US,millennial,1991-03-03,top_25,366141.51,14645.66,once,62.96,50.78,8.65,19.4,4.62,16.55,7437.07,1266.85,2841.26,676.63,2423.86
69,Maxime,Garcia,male,maxime.garcia647.fr@gmail.com,"78 Rue de Rivoli, Lille",fr,FR,millennial,1995-11-19,top_10,835912.54,10448.91,always,158.78,32.79,14.07,21.11,12.25,19.78,3426.2,1470.16,2205.76,1279.99,2066.79
70,Fang,Sun,male,fang.sun830.cn@gmail.com,"147 Zhongshan Ave, Hangzhou",china,CN,gen_z,2001-02-21,top_25,234793.62,9391.74,always,26.87,42.32,19.11,18.51,3.65,16.41,3974.58,1794.76,1738.41,342.8,1541.18
71,Nicolas,Dubois,male,nicolas.dubois696.fr@gmail.com,"154 Rue de la Paix, Nantes",fr,FR,boomer,1962-11-06,top_25,602950.36,24118.01,often,75.98,48.14,3.78,14.7,21.34,12.04,11610.41,911.66,3545.35,5146.78,2903.81
72,Zhen,Chen,male,zhen.chen87.cn@gmail.com,"80 Xinhua St, Wuhan",china,CN,millennial,1991-02-19,bottom_50,43181.24,4318.12,often,5.52,83.13,7.9,5.03,3.94,0.0,3589.65,341.13,217.2,170.13,0.0
73,Marine,Dubois,female,marine.dubois141.fr@gmail.com,"40 Avenue Foch, Nice",fr,FR,gen_z,2007-11-14,bottom_50,25154.42,2515.44,once,11.03,76.13,7.76,12.47,3.64,0.0,1915.0,195.2,313.68,91.56,0.0
74,Sorcha,Kelly,female,sorcha.kelly45.ie@gmail.com,"106 Merrion Sq, Limerick",ire,IE,boomer,1956-10-05,bottom_50,499449.13,49944.91,once,9.85,79.48,1.24,7.25,12.03,0.0,39696.21,619.32,3621.01,6008.37,0.0
75,Sara,Magnusson,female,sara.magnusson797.se@gmail.com,"98 Odengatan, Jonkoping",swe,SE,boomer,1953-05-26,top_25,1018343.03,40733.72,always,47.94,40.19,8.51,16.68,9.57,25.05,16370.88,3466.44,6794.38,3898.22,10203.8
76,Sarah,Johnson,female,sarah.johnson461.us@gmail.com,"132 Maple Dr, San Antonio",usa,US,gen_z,2007-08-28,bottom_50,12583.35,1258.34,always,19.6,71.38,9.09,15.86,3.67,0.0,898.2,114.38,199.57,46.18,0.0
77,Fang,Zhu,female,fang.zhu40.cn@gmail.com,"74 Dongfeng Rd, Shenzhen",china,CN,boomer,1947-07-17,top_1,1061543.34,5307.72,often,251.41,19.5,11.39,20.03,16.91,32.17,1035.01,604.55,1063.14,897.54,1707.49
78,Amelia,Thomas,female,amelia.thomas655.uk@gmail.com,"160 Kings Rd, Manchester",uk,GB,millennial,1987-03-18,bottom_50,268666.74,26866.67,sometimes,14.16,77.06,6.18,10.77,5.99,0.0,20703.46,1660.36,2893.54,1609.31,0.0
79,Rui,Gao,male,rui.gao370.cn@gmail.com,"18 Xinhua St, Suzhou",china,CN,millennial,1988-12-05,top_1,629295.45,3146.48,once,354.11,26.28,13.39,19.56,10.5,30.27,826.89,421.31,615.45,330.38,952.44
80,Mark,Johnson,male,mark.johnson361.us@gmail.com,"140 Pine Rd, Chicago",usa,US,millennial,1993-06-09,top_1,6578053.34,32890.27,often,607.94,18.11,12.82,21.56,16.22,31.29,5956.43,4216.53,7091.14,5334.8,10291.37
81,Orla,Smith,female,orla.smith408.ie@gmail.com,"140 South Circular Rd, Waterford",ire,IE,boomer,1948-12-25,top_25,1658687.93,66347.52,once,42.39,41.95,8.22,12.92,12.94,23.97,27832.78,5453.77,8572.1,8585.37,15903.5
82,Li,Xu,female,li.xu532.cn@gmail.com,"69 Wangfujing St, Wuhan",china,CN,gen_z,2001-02-26,top_25,168061.48,6722.46,always,29.28,49.76,15.52,28.24,4.52,1.96,3345.1,1043.33,1898.42,303.86,131.76
83,Lan,Liu,female,lan.liu934.cn@gmail.com,"91 Guanghua Rd, Wuhan",china,CN,boomer,1948-06-22,top_25,142648.63,5705.95,sometimes,28.75,44.82,11.27,20.12,5.27,18.52,2557.41,643.06,1148.04,300.7,1056.74
84,Gang,Sun,male,gang.sun973.cn@gmail.com,"146 Nanjing Rd, Nanjing",china,CN,boomer,1962-12-22,top_1,801642.32,4008.21,once,584.39,19.82,7.36,19.76,17.72,35.34,794.43,295.0,792.02,710.25,1416.5
85,Yang,Gao,male,yang.gao576.cn@gmail.com,"31 Huaihai Rd, Chengdu",china,CN,millennial,1985-09-12,bottom_50,25900.08,2590.01,sometimes,5.16,74.73,12.76,12.49,0.02,0.0,1935.51,330.49,323.49,0.52,0.0
86,Ella,Evans,female,ella.evans684.uk@gmail.com,"89 Church Rd, Edinburgh",uk,GB,millennial,1984-03-28,bottom_50,21160.15,2116.02,once,17.95,69.1,8.93,12.05,9.92,0.0,1462.17,188.96,254.98,209.91,0.0
87,Elizabeth,Taylor,female,elizabeth.taylor565.us@gmail.com,"34 River Rd, Los Angeles",usa,US,boomer,1962-04-04,top_10,11373586.51,142169.83,always,184.27,31.91,7.02,20.65,15.9,24.52,45366.39,9980.32,29358.07,22605.0,34860.04
88,Hui,Zhu,male,hui.zhu444.cn@gmail.com,"129 Nanjing Rd, Beijing",china,CN,millennial,1983-03-11,bottom_50,41796.97,4179.7,sometimes,7.62,71.84,13.79,10.09,4.28,0.0,3002.7,576.38,421.73,178.89,0.0
89,Jessica,Taylor,female,jessica.taylor657.us@gmail.com,"44 River Rd, San Jose",usa,US,gen_z,2005-05-28,bottom_50,2673.19,267.32,once,25.95,76.18,7.03,14.88,1.91,0.0,203.64,18.79,39.78,5.11,0.0
90,Zhi,Li,female,zhi.li911.cn@gmail.com,"161 Xinhua St, Chengdu",china,CN,millennial,1981-02-02,top_25,137763.79,5510.55,often,21.43,43.91,14.51,23.35,6.26,11.97,2419.68,799.58,1286.71,344.96,659.61
91,Emma,Moreau,female,emma.moreau752.fr@gmail.com,"89 Rue du Bac, Marseille",fr,FR,gen_z,2004-02-23,bottom_50,2963.84,296.38,sometimes,12.87,72.89,8.82,11.91,6.38,0.0,216.03,26.14,35.3,18.91,0.0
92,Jack,Thomas,male,jack.thomas321.uk@gmail.com,"49 Victoria Rd, Sheffield",uk,GB,gen_z,2004-04-05,top_25,53756.2,2150.25,sometimes,52.56,38.33,12.38,30.75,7.19,11.35,824.19,266.2,661.2,154.6,244.05
93,Kristina,Jansson,female,kristina.jansson550.se@gmail.com,"3 Kungsgatan, Linkoping",swe,SE,boomer,1962-08-08,bottom_50,109215.48,10921.55,once,8.3,82.52,1.14,9.39,6.95,0.0,9012.46,124.51,1025.53,759.05,0.0
94,Fang,Ma,male,fang.ma697.cn@gmail.com,"157 Wangfujing St, Shenzhen",china,CN,millennial,1982-10-18,bottom_50,12666.22,1266.62,sometimes,3.72,81.4,7.51,10.08,1.01,0.0,1031.03,95.12,127.68,12.79,0.0
95,Henrik,Eriksson,male,henrik.eriksson915.se@gmail.com,"132 Drottninggatan, Orebro",swe,SE,boomer,1952-10-17,bottom_50,203759.34,20375.93,once,7.9,86.1,3.87,3.69,6.34,0.0,17543.68,788.55,751.87,1291.83,0.0
96,Johanna,Lindberg,female,johanna.lindberg427.se@gmail.com,"150 Hornsgatan, Stockholm",swe,SE,millennial,1991-09-27,bottom_50,53437.41,5343.74,sometimes,16.46,74.93,8.93,11.45,4.69,0.0,4004.06,477.2,611.86,250.62,0.0
97,Emily,White,female,emily.white33.us@gmail.com,"147 Oak Ave, Houston",usa,US,millennial,1988-12-02,bottom_50,108617.02,10861.7,once,18.21,83.24,3.37,6.37,7.02,0.0,9041.28,366.04,691.89,762.49,0.0
98,Rong,He,female,rong.he386.cn@gmail.com,"81 Renmin Rd, Xi'an",china,CN,gen_z,2006-08-28,bottom_50,100592.91,10059.29,often,7.8,77.26,9.36,11.29,2.09,0.0,7771.81,941.55,1135.69,210.24,0.0
99,Emma,Lindqvist,female,emma.lindqvist501.se@gmail.com,"82 Birger Jarlsgatan, Orebro",swe,SE,millennial,1996-04-08,bottom_50,29250.47,2925.05,once,24.41,73.02,12.36,10.45,4.17,0.0,2135.87,361.54,305.67,121.97,0.0
100,Andrew,Thompson,male,andrew.thompson672.us@gmail.com,"66 Lake Dr, Houston",usa,US,millennial,1993-07-27,top_1,4457040.83,22285.2,always,706.18,12.02,14.68,19.27,19.59,34.44,2678.68,3271.47,4294.36,4365.67,7675.02
101,Xia,Liu,female,xia.liu988.cn@gmail.com,"141 Renmin Rd, Wuhan",china,CN,boomer,1964-04-08,top_25,114321.54,4572.86,always,20.71,45.6,11.2,14.59,12.77,15.84,2085.22,512.16,667.18,583.95,724.34
102,Lucie,Simon,female,lucie.simon180.fr@gmail.com,"107 Rue Saint-Honore, Paris",fr,FR,millennial,1990-11-02,top_10,993501.9,12418.77,once,192.12,34.14,6.62,20.56,25.34,13.34,4239.77,822.12,2553.3,3146.92,1656.66
103,Johanna,Johansson,female,johanna.johansson138.se@gmail.com,"130 Birger Jarlsgatan, Vasteras",swe,SE,millennial,1981-05-19,bottom_50,63194.56,6319.46,often,13.51,76.55,12.04,6.03,5.38,0.0,4837.55,760.86,381.06,339.99,0.0
104,Jun,Yang,male,jun.yang255.cn@gmail.com,"2 Huaihai Rd, Wuhan",china,CN,gen_z,1997-12-11,bottom_50,93762.11,9376.21,sometimes,8.18,70.21,13.99,14.83,0.97,0.0,6583.04,1311.73,1390.49,90.95,0.0
105,Yi,Wang,male,yi.wang721.cn@gmail.com,"198 Huaihai Rd, Beijing",china,CN,boomer,1954-11-12,top_10,489589.61,6119.87,once,63.82,37.35,12.24,21.35,6.67,22.39,2285.77,749.07,1306.59,408.2,1370.24
106,Jacques,David,male,jacques.david611.fr@gmail.com,"21 Rue Nationale, Montpellier",fr,FR,millennial,1985-08-24,top_1,3121381.54,15606.91,often,994.81,29.04,5.42,23.64,9.01,32.89,4532.25,845.89,3689.47,1406.18,5133.11
107,Steven,Jackson,male,steven.jackson523.us@gmail.com,"115 Main St, San Diego",usa,US,boomer,1952-10-18,bottom_50,164837.62,16483.76,once,16.59,76.81,3.51,11.02,8.66,0.0,12661.18,578.58,1816.51,1427.49,0.0
