id,first_name,last_name,gender,email,address,country,generation,wealth_tier,net_worth_usd,monthly_income_usd,internet_frequency,monthly_internet_spend_usd,food_living_pct,tech_pct,lifestyle_pct,travel_pct,investment_pct,food_living_usd,tech_usd,lifestyle_usd,travel_usd,investment_usd
11,Aisling,Quinn,female,aisling.quinn100.ie@gmail.com,"169 Fitzwilliam Sq, Drogheda",ire,gen_z,bottom_50,8415.3,841.53,always,14.6,73.7,5.63,17.16,3.51,0.0,620.21,47.38,144.41,29.54,0.0
12,Linda,Johnson,female,linda.johnson286.us@gmail.com,"119 Cedar Ln, Los Angeles",usa,millennial,bottom_50,74943.93,7494.39,once,22.8,77.51,6.45,12.77,3.27,0.0,5808.9,483.39,957.03,245.07,0.0
13,Steven,Smith,male,steven.smith61.us@gmail.com,"43 Park Ave, New York",usa,millennial,top_10,2571832.06,32147.9,always,304.72,29.73,13.01,21.19,14.05,22.02,9557.57,4182.44,6812.14,4516.78,7078.97
14,Patrik,Magnusson,male,patrik.magnusson322.se@gmail.com,"15 Storgatan, Norrkoping",swe,boomer,bottom_50,335991.03,33599.1,sometimes,11.4,76.83,5.97,9.43,7.77,0.0,25814.19,2005.87,3168.4,2610.65,0.0
15,Paul,Williams,male,paul.williams84.us@gmail.com,"108 River Rd, San Jose",usa,millennial,top_1,7126661.67,35633.31,sometimes,608.55,22.18,7.52,24.35,12.87,33.08,7903.47,2679.62,8676.71,4586.01,11787.5
16,Jessica,Martinez,female,jessica.martinez577.us@gmail.com,"26 Oak Ave, Dallas",usa,gen_z,top_1,1170297.63,5851.49,always,840.69,14.97,9.98,27.38,15.44,32.23,875.97,583.98,1602.14,903.47,1885.94
17,Yu,Sun,female,yu.sun684.cn@gmail.com,"142 Huaihai Rd, Beijing",china,boomer,bottom_50,30906.6,3090.66,once,6.76,76.1,12.05,8.85,3.0,0.0,2351.99,372.42,273.52,92.72,0.0
18,Viktor,Eriksson,male,viktor.eriksson928.se@gmail.com,"14 Kungsgatan, Linkoping",swe,gen_z,bottom_50,1953.55,195.35,sometimes,18.92,67.85,13.63,13.61,4.91,0.0,132.54,26.63,26.59,9.59,0.0
19,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,ire,gen_z,bottom_50,47143.77,4714.38,sometimes,12.99,71.5,8.61,19.8,0.09,0.0,3370.78,405.91,933.45,4.24,0.0
20,John,Taylor,male,john.taylor159.us@gmail.com,"61 Maple Dr, Chicago",usa,gen_z,bottom_50,7121.17,712.12,once,10.07,79.41,5.07,10.84,4.68,0.0,565.49,36.1,77.19,33.33,0.0
21,Niall,Ryan,male,niall.ryan815.ie@gmail.com,"59 Nassau St, Dublin",ire,boomer,bottom_50,223117.08,22311.71,sometimes,8.52,77.73,2.4,13.93,5.94,0.0,17342.89,535.48,3108.02,1325.32,0.0
22,Henri,Laurent,male,henri.laurent183.fr@gmail.com,"149 Rue de Rivoli, Paris",fr,gen_z,bottom_50,31733.46,3173.35,sometimes,21.87,76.87,2.2,13.03,7.9,0.0,2439.35,69.81,413.49,250.69,0.0
23,Zhen,He,male,zhen.he704.cn@gmail.com,"185 Zhongshan Ave, Hangzhou",china,millennial,bottom_50,7525.07,752.51,often,4.76,79.85,10.34,8.48,1.33,0.0,600.88,77.81,63.81,10.01,0.0
24,Linda,Wilson,female,linda.wilson179.us@gmail.com,"158 River Rd, Phoenix",usa,boomer,top_1,23163817.59,115819.09,always,862.58,18.0,2.48,20.88,24.41,34.23,20847.44,2872.31,24183.03,28271.44,39644.87
25,Andrew,Lopez,male,andrew.lopez174.us@gmail.com,"169 Oak Ave, Phoenix",usa,gen_z,top_10,491381.76,6142.27,often,217.05,31.13,15.04,25.48,16.86,11.49,1912.09,923.8,1565.05,1035.59,705.75
26,Jessica,Wilson,female,jessica.wilson200.us@gmail.com,"184 Park Ave, San Diego",usa,gen_z,top_25,67732.93,2709.32,sometimes,37.16,42.76,16.61,25.23,7.14,8.26,1158.51,450.02,683.56,193.45,223.79
27,Linda,Hernandez,female,linda.hernandez137.us@gmail.com,"119 Hill St, Dallas",usa,millennial,bottom_50,40735.09,4073.51,often,19.32,80.32,3.46,10.52,5.7,0.0,3271.84,140.94,428.53,232.19,0.0
28,Dorothy,Hernandez,female,dorothy.hernandez653.us@gmail.com,"71 Hill St, San Diego",usa,boomer,top_1,30603090.9,153015.45,often,1555.75,18.37,5.99,13.75,18.21,43.68,28108.94,9165.63,21039.62,27864.11,66837.15
29,Henri,Simon,male,henri.simon418.fr@gmail.com,"85 Rue Nationale, Montpellier",fr,gen_z,bottom_50,15815.71,1581.57,sometimes,8.71,73.63,9.52,13.78,3.07,0.0,1164.51,150.57,217.94,48.55,0.0
30,Emily,Smith,female,emily.smith977.us@gmail.com,"108 Hill St, Dallas",usa,millennial,bottom_50,159472.1,15947.21,often,14.75,82.93,5.97,9.96,1.14,0.0,13225.02,952.05,1588.34,181.8,0.0
31,Thomas,Smith,male,thomas.smith607.uk@gmail.com,"145 High St, Manchester",uk,millennial,top_10,868790.07,10859.88,often,260.95,31.73,8.47,37.95,11.04,10.81,3445.84,919.83,4121.32,1198.93,1173.95
32,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,fr,millennial,bottom_50,41134.27,4113.43,once,16.43,76.99,1.57,14.62,6.82,0.0,3166.93,64.58,601.38,280.54,0.0
33,Fang,Wang,male,fang.wang224.cn@gmail.com,"120 Huaihai Rd, Hangzhou",china,gen_z,top_1,2054204.2,10271.02,often,205.68,17.81,19.49,26.9,8.17,27.63,1829.27,2001.82,2762.9,839.14,2837.88
34,Hao,Zhou,male,hao.zhou643.cn@gmail.com,"63 Wangfujing St, Chengdu",china,boomer,top_25,120953.86,4838.15,once,22.24,43.79,3.58,13.31,14.33,24.99,2118.63,173.21,643.96,693.31,1209.05
35,Ciara,Doyle,female,ciara.doyle444.ie@gmail.com,"93 South Circular Rd, Galway",ire,gen_z,top_25,101878.15,4075.13,often,35.17,43.1,12.39,24.84,4.82,14.85,1756.38,504.91,1012.26,196.42,605.16
36,Steven,Martin,male,steven.martin584.us@gmail.com,"157 Park Ave, Philadelphia",usa,boomer,top_25,1982005.01,79280.2,often,66.22,43.92,8.38,21.91,12.57,13.22,34819.86,6643.68,17370.29,9965.52,10480.84
37,Jun,Xu,male,jun.xu417.cn@gmail.com,"126 Xinhua St, Guangzhou",china,gen_z,top_10,380429.81,4755.37,often,126.07,32.87,16.27,20.92,10.86,19.08,1563.09,773.7,994.82,516.43,907.32
38,Marguerite,Moreau,female,marguerite.moreau720.fr@gmail.com,"117 Rue de Rivoli, Nice",fr,millennial,top_25,251761.06,10070.44,often,44.29,48.05,7.23,19.26,11.86,13.6,4838.85,728.09,1939.57,1194.35,1369.58
39,Xin,Yang,male,xin.yang370.cn@gmail.com,"46 Huaihai Rd, Shanghai",china,gen_z,bottom_50,22711.2,2271.12,often,5.33,76.43,11.23,11.4,0.94,0.0,1735.82,255.05,258.91,21.35,0.0
40,Alfie,Brown,male,alfie.brown989.uk@gmail.com,"14 Manor Rd, Sheffield",uk,gen_z,bottom_50,30177.61,3017.76,often,9.51,69.2,11.29,18.25,1.26,0.0,2088.29,340.71,550.74,38.02,0.0
41,Li,Chen,female,li.chen810.cn@gmail.com,"159 Zhongshan Ave, Suzhou",china,millennial,bottom_50,9708.29,970.83,sometimes,5.49,78.28,10.77,8.75,2.2,0.0,759.97,104.56,84.95,21.36,0.0
42,Margaret,Wilson,female,margaret.wilson84.us@gmail.com,"41 Cedar Ln, Chicago",usa,gen_z,top_1,1396108.83,6980.54,sometimes,1723.25,11.84,17.54,28.63,11.05,30.94,826.5,1224.39,1998.53,771.35,2159.78
43,Ashley,Wilson,female,ashley.wilson811.us@gmail.com,"161 River Rd, Houston",usa,millennial,bottom_50,6075.58,607.56,once,13.41,78.06,5.36,10.12,6.46,0.0,474.26,32.57,61.49,39.25,0.0
44,Barbara,Williams,female,barbara.williams279.us@gmail.com,"129 Hill St, San Diego",usa,millennial,top_25,207168.97,8286.76,often,66.33,53.34,4.13,16.52,11.76,14.25,4420.16,342.24,1368.97,974.52,1180.86
45,Donna,Martinez,female,donna.martinez842.us@gmail.com,"69 River Rd, New York",usa,boomer,top_25,1149073.46,45962.94,once,69.8,45.15,7.77,12.63,16.4,18.05,20752.27,3571.32,5805.12,7537.92,8296.31
46,Leo,Davies,male,leo.davies108.uk@gmail.com,"42 Park Rd, Bristol",uk,millennial,bottom_50,284874.18,28487.42,sometimes,19.71,78.72,5.31,10.32,5.65,0.0,22425.3,1512.68,2939.9,1609.54,0.0
47,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,fr,boomer,bottom_50,262495.04,26249.5,once,11.19,82.83,0.62,5.58,10.97,0.0,21742.46,162.75,1464.72,2879.57,0.0
48,Shu,Liu,female,shu.liu231.cn@gmail.com,"30 Dongfeng Rd, Beijing",china,gen_z,bottom_50,3423.08,342.31,sometimes,8.53,72.88,11.1,15.84,0.18,0.0,249.48,38.0,54.22,0.62,0.0
49,Henri,Michel,male,henri.michel283.fr@gmail.com,"198 Rue du Bac, Nantes",fr,boomer,bottom_50,481746.73,48174.67,often,10.24,77.18,2.19,7.92,12.71,0.0,37181.21,1055.03,3815.43,6123.0,0.0
50,Sven,Lindberg,male,sven.lindberg387.se@gmail.com,"117 Gotgatan, Uppsala",swe,boomer,top_25,885227.28,35409.09,often,76.62,34.0,6.15,21.97,11.22,26.66,12039.09,2177.66,7779.38,3972.9,9440.06
51,Klara,Johansson,female,klara.johansson156.se@gmail.com,"127 Storgatan, Malmo",swe,millennial,bottom_50,33356.97,3335.7,sometimes,23.42,67.12,15.6,14.57,2.71,0.0,2238.92,520.37,486.01,90.4,0.0
52,Sandra,Brown,female,sandra.brown710.us@gmail.com,"102 Oak Ave, Philadelphia",usa,boomer,top_25,2097887.0,83915.48,sometimes,72.12,35.26,8.03,19.78,15.2,21.73,29588.6,6738.41,16598.48,12755.15,18234.83
53,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,ire,millennial,top_10,711466.42,8893.33,once,213.55,30.27,22.97,16.02,15.5,15.24,2692.01,2042.8,1424.71,1378.47,1355.34
54,Fang,Zhou,male,fang.zhou625.cn@gmail.com,"98 Guanghua Rd, Guangzhou",china,gen_z,bottom_50,42503.36,4250.34,sometimes,5.13,68.88,15.39,14.53,1.2,0.0,2927.63,654.13,617.57,51.0,0.0
55,Sandra,Martinez,female,sandra.martinez986.us@gmail.com,"109 Elm St, San Diego",usa,gen_z,top_25,134336.22,5373.45,always,61.31,34.36,14.23,27.85,9.59,13.97,1846.32,764.64,1496.51,515.31,750.67
56,Darragh,McCarthy,male,darragh.mccarthy580.ie@gmail.com,"176 O'Connell St, Kilkenny",ire,millennial,bottom_50,178510.23,17851.02,sometimes,23.64,72.4,4.35,19.23,4.02,0.0,12924.14,776.52,3432.75,717.61,0.0
57,Jessica,Harris,female,jessica.harris141.uk@gmail.com,"161 Church Rd, London",uk,boomer,top_10,5335102.39,66688.78,sometimes,157.97,25.54,9.31,28.72,19.34,17.09,17032.31,6208.73,19153.02,12897.61,11397.11
58,Jennifer,Wilson,female,jennifer.wilson280.us@gmail.com,"43 Elm St, San Diego",usa,millennial,bottom_50,60815.5,6081.55,sometimes,12.09,83.01,2.16,7.91,6.92,0.0,5048.29,131.36,481.05,420.84,0.0
59,Hanna,Karlsson,female,hanna.karlsson15.se@gmail.com,"68 Odengatan, Gothenburg",swe,boomer,bottom_50,71453.61,7145.36,often,21.9,75.67,9.18,8.77,6.38,0.0,5406.89,655.94,626.65,455.87,0.0
60,Nancy,Brown,female,nancy.brown651.us@gmail.com,"119 Elm St, San Antonio",usa,millennial,top_25,424094.12,16963.76,sometimes,67.36,51.8,12.24,18.36,6.52,11.08,8787.23,2076.36,3114.55,1106.04,1879.58
61,Ting,Liu,female,ting.liu854.cn@gmail.com,"126 Guanghua Rd, Wuhan",china,gen_z,bottom_50,27840.47,2784.05,sometimes,5.94,67.05,17.89,12.65,2.41,0.0,1866.71,498.07,352.18,67.1,0.0
62,Jonas,Persson,male,jonas.persson195.se@gmail.com,"32 Birger Jarlsgatan, Gothenburg",swe,millennial,bottom_50,89683.69,8968.37,once,18.36,80.06,4.64,10.71,4.59,0.0,7180.08,416.13,960.51,411.65,0.0
63,Nicolas,Durand,male,nicolas.durand239.fr@gmail.com,"85 Rue Saint-Honore, Lille",fr,millennial,top_25,450564.27,18022.57,often,40.61,56.3,10.51,17.68,6.73,8.78,10146.71,1894.17,3186.39,1212.92,1582.38
64,Jun,Yang,male,jun.yang432.cn@gmail.com,"135 Wangfujing St, Beijing",china,gen_z,top_10,303119.02,3788.99,always,65.15,26.15,24.77,23.01,9.89,16.18,990.82,938.53,871.85,374.73,613.06
65,Paul,Davis,male,paul.davis63.us@gmail.com,"123 Park Ave, San Antonio",usa,millennial,top_10,2522356.81,31529.46,once,285.95,36.48,16.28,17.29,5.32,24.63,11501.95,5133.0,5451.44,1677.37,7765.71
66,Paul,Simon,male,paul.simon620.fr@gmail.com,"111 Avenue Foch, Lyon",fr,boomer,bottom_50,351068.52,35106.85,once,10.63,78.33,6.04,6.34,9.29,0.0,27499.2,2120.45,2225.77,3261.43,0.0
67,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,ire,boomer,top_25,1229822.85,49192.91,once,47.55,36.68,7.02,23.91,15.05,17.34,18043.96,3453.34,11762.02,7403.53,8530.05
68,Mei,Chen,female,mei.chen769.cn@gmail.com,"109 Nanjing Rd, Chengdu",china,millennial,bottom_50,36203.04,3620.3,sometimes,6.87,78.29,10.29,11.2,0.22,0.0,2834.33,372.53,405.47,7.96,0.0
69,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,fr,millennial,bottom_50,164660.24,16466.02,once,13.68,78.74,4.6,11.1,5.56,0.0,12965.34,757.44,1827.73,915.51,0.0
70,Aurelie,Martin,female,aurelie.martin411.fr@gmail.com,"18 Rue Saint-Honore, Paris",fr,millennial,top_25,241090.41,9643.62,often,44.38,51.52,7.42,20.29,12.96,7.81,4968.39,715.56,1956.69,1249.81,753.17
71,Hao,Sun,male,hao.sun454.cn@gmail.com,"170 Jiefang Rd, Xi'an",china,millennial,top_25,88952.95,3558.12,sometimes,34.88,38.41,10.93,23.77,11.67,15.22,1366.67,388.9,845.77,415.23,541.55
72,Antoine,Michel,male,antoine.michel57.fr@gmail.com,"2 Boulevard Haussmann, Nice",fr,gen_z,bottom_50,5485.61,548.56,often,14.12,75.81,5.11,14.13,4.95,0.0,415.86,28.03,77.51,27.15,0.0
73,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,swe,boomer,top_10,2283975.33,28549.69,sometimes,154.14,39.89,9.56,17.83,12.07,20.65,11388.47,2729.35,5090.41,3445.95,5895.51
74,Anthony,White,male,anthony.white472.us@gmail.com,"177 Pine Rd, Los Angeles",usa,gen_z,bottom_50,13709.13,1370.91,sometimes,13.51,60.77,12.77,18.66,7.8,0.0,833.1,175.07,255.81,106.93,0.0
75,Robert,Thomas,male,robert.thomas199.us@gmail.com,"199 Pine Rd, Philadelphia",usa,millennial,bottom_50,162039.41,16203.94,sometimes,12.44,82.89,5.59,8.09,3.43,0.0,13431.45,905.8,1310.9,555.8,0.0
76,Charlie,Thomas,male,charlie.thomas460.uk@gmail.com,"175 Mill Lane, Leicester",uk,boomer,top_10,3146827.01,39335.34,often,252.05,28.24,8.01,23.3,14.39,26.06,11108.3,3150.76,9165.13,5660.36,10250.79
77,Mark,Moore,male,mark.moore378.us@gmail.com,"74 Oak Ave, Los Angeles",usa,gen_z,top_1,1478095.83,7390.48,always,1114.29,11.02,13.21,27.14,12.81,35.82,814.43,976.28,2005.78,946.72,2647.27
78,Jeanne,Garcia,female,jeanne.garcia732.fr@gmail.com,"22 Rue Nationale, Marseille",fr,millennial,top_25,429894.02,17195.76,often,39.91,43.08,5.92,25.62,10.3,15.08,7407.93,1017.99,4405.55,1771.16,2593.12
79,Hui,Yang,female,hui.yang343.cn@gmail.com,"17 Changan Ave, Beijing",china,boomer,top_25,150544.72,6021.79,always,23.41,39.34,11.89,12.27,15.57,20.93,2368.97,715.99,738.87,937.59,1260.36
80,Donna,Jones,female,donna.jones610.us@gmail.com,"182 Oak Ave, Phoenix",usa,gen_z,bottom_50,11300.31,1130.03,sometimes,10.95,69.26,14.86,14.64,1.24,0.0,782.66,167.92,165.44,14.01,0.0
81,Paul,Williams,male,paul.williams141.us@gmail.com,"40 Oak Ave, Phoenix",usa,gen_z,top_25,131200.97,5248.04,sometimes,57.57,37.52,13.7,24.83,14.33,9.62,1969.06,718.98,1303.09,752.04,504.86
82,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,ire,boomer,bottom_50,553540.31,55354.03,often,15.19,79.34,1.18,9.66,9.82,0.0,43917.89,653.18,5347.2,5435.77,0.0
83,Charles,Moore,male,charles.moore585.us@gmail.com,"113 Lake Dr, Phoenix",usa,gen_z,top_25,69143.06,2765.72,sometimes,90.19,46.42,13.26,14.32,8.81,17.19,1283.85,366.73,396.05,243.66,475.43
84,Jacob,Harris,male,jacob.harris782.uk@gmail.com,"42 Manor Rd, Sheffield",uk,millennial,top_25,330423.98,13216.96,sometimes,61.47,41.45,6.38,25.54,11.8,14.83,5478.43,843.24,3375.61,1559.6,1960.08
85,Sara,Bengtsson,female,sara.bengtsson230.se@gmail.com,"8 Gotgatan, Gothenburg",swe,millennial,bottom_50,92742.82,9274.28,always,14.49,73.39,8.1,13.76,4.75,0.0,6806.39,751.22,1276.14,440.53,0.0
86,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,ire,boomer,top_25,1442940.99,57717.64,once,60.13,41.56,5.44,19.18,14.32,19.5,23987.45,3139.84,11070.24,8265.17,11254.94
87,John,Davis,male,john.davis528.us@gmail.com,"148 Cedar Ln, Chicago",usa,gen_z,bottom_50,14231.25,1423.12,often,15.73,75.63,10.21,11.74,2.42,0.0,1076.31,145.3,167.07,34.44,0.0
88,Yan,Zhang,female,yan.zhang895.cn@gmail.com,"121 Nanjing Rd, Wuhan",china,millennial,bottom_50,34063.14,3406.31,once,10.33,77.13,10.65,9.89,2.33,0.0,2627.29,362.77,336.88,79.37,0.0
89,Maja,Persson,female,maja.persson834.se@gmail.com,"165 Drottninggatan, Helsingborg",swe,gen_z,bottom_50,5257.39,525.74,sometimes,19.93,68.07,10.02,18.29,3.62,0.0,357.87,52.68,96.16,19.03,0.0
90,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,swe,gen_z,bottom_50,2104.86,210.49,once,11.56,80.25,12.05,5.49,2.21,0.0,168.92,25.36,11.56,4.65,0.0
91,Grace,Thomas,female,grace.thomas509.uk@gmail.com,"178 Kings Rd, Liverpool",uk,millennial,bottom_50,35568.36,3556.84,once,21.38,80.91,2.03,7.73,9.33,0.0,2877.84,72.2,274.94,331.85,0.0
92,Kristina,Hansson,female,kristina.hansson707.se@gmail.com,"114 Gotgatan, Helsingborg",swe,boomer,top_25,899896.55,35995.86,often,61.24,42.02,10.9,18.54,11.68,16.86,15125.46,3923.55,6673.63,4204.32,6068.9
93,Zhen,Li,female,zhen.li623.cn@gmail.com,"174 Dongfeng Rd, Shanghai",china,millennial,top_10,160913.11,2011.41,often,81.82,32.84,19.64,14.15,15.05,18.32,660.55,395.04,284.61,302.72,368.49
94,Yi,Li,male,yi.li408.cn@gmail.com,"81 Huaihai Rd, Guangzhou",china,millennial,bottom_50,39373.52,3937.35,sometimes,10.25,78.5,14.04,6.44,1.02,0.0,3090.82,552.8,253.57,40.16,0.0
95,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,swe,gen_z,bottom_50,1877.72,187.77,once,14.88,70.64,11.04,16.63,1.69,0.0,132.64,20.73,31.23,3.17,0.0
96,Lan,Sun,female,lan.sun230.cn@gmail.com,"32 Zhongshan Ave, Shenzhen",china,boomer,top_25,190528.64,7621.15,sometimes,21.88,46.66,12.12,16.04,5.71,19.47,3556.03,923.68,1222.43,435.17,1483.84
97,Shan,Lin,female,shan.lin420.cn@gmail.com,"148 Wangfujing St, Shenzhen",china,millennial,bottom_50,8444.21,844.42,often,3.62,79.9,6.94,11.04,2.12,0.0,674.69,58.6,93.22,17.9,0.0
98,Maja,Eriksson,female,maja.eriksson157.se@gmail.com,"78 Drottninggatan, Malmo",swe,millennial,top_25,245326.55,9813.06,often,64.94,43.08,18.24,11.78,11.53,15.37,4227.47,1789.9,1155.98,1131.45,1508.27
99,Karen,Williams,female,karen.williams173.us@gmail.com,"152 River Rd, Chicago",usa,gen_z,top_25,71643.67,2865.75,often,64.54,42.71,14.68,26.19,4.5,11.92,1223.96,420.69,750.54,128.96,341.6
100,Yi,Li,male,yi.li510.cn@gmail.com,"161 Xinhua St, Chengdu",china,boomer,top_25,203912.33,8156.49,once,15.91,52.01,8.8,16.51,7.4,15.28,4242.19,717.77,1346.64,603.58,1246.31
101,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,fr,gen_z,bottom_50,22436.37,2243.64,often,9.03,76.73,4.64,15.5,3.13,0.0,1721.54,104.1,347.76,70.23,0.0
102,Linnea,Persson,female,linnea.persson255.se@gmail.com,"41 Gotgatan, Norrkoping",swe,millennial,bottom_50,48904.05,4890.41,once,12.32,74.9,10.09,12.1,2.91,0.0,3662.92,493.44,591.74,142.31,0.0
103,Ruby,Thompson,female,ruby.thompson50.uk@gmail.com,"13 Manor Rd, Sheffield",uk,gen_z,bottom_50,41589.07,4158.91,sometimes,9.22,72.66,6.74,17.68,2.92,0.0,3021.86,280.31,735.3,121.44,0.0
104,James,Brown,male,james.brown200.us@gmail.com,"93 Hill St, Phoenix",usa,millennial,top_10,1442893.34,18036.17,always,272.13,37.61,12.91,15.78,10.51,23.19,6783.4,2328.47,2846.11,1895.6,4182.59
105,Zhen,Luo,male,zhen.luo513.cn@gmail.com,"11 Nanjing Rd, Shanghai",china,boomer,top_25,122193.06,4887.72,always,23.5,45.38,7.04,22.17,7.75,17.66,2218.05,344.1,1083.61,378.8,863.17
106,Zhen,He,male,zhen.he520.cn@gmail.com,"131 Xinhua St, Xi'an",china,millennial,bottom_50,9095.55,909.55,always,5.57,79.37,7.06,10.44,3.13,0.0,721.91,64.21,94.96,28.47,0.0
107,Jack,Robinson,male,jack.robinson802.uk@gmail.com,"199 Mill Lane, Leicester",uk,boomer,bottom_50,751347.82,75134.78,sometimes,18.14,80.76,2.3,13.0,3.94,0.0,60678.85,1728.1,9767.52,2960.31,0.0
108,Hui,Ma,female,hui.ma156.cn@gmail.com,"106 Zhongshan Ave, Wuhan",china,millennial,bottom_50,9615.77,961.58,sometimes,3.12,78.03,10.35,8.09,3.53,0.0,750.32,99.52,77.79,33.94,0.0
109,Patricia,Jones,female,patricia.jones546.us@gmail.com,"88 Hill St, Philadelphia",usa,millennial,top_25,369032.89,14761.32,often,97.71,45.5,7.09,20.47,13.17,13.77,6716.4,1046.58,3021.64,1944.07,2032.63
110,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,fr,millennial,top_10,741451.32,9268.14,always,153.19,29.31,16.63,25.97,14.22,13.87,2716.49,1541.29,2406.94,1317.93,1285.49
111,Andrew,Thompson,male,andrew.thompson732.us@gmail.com,"21 Pine Rd, San Diego",usa,millennial,top_1,4639299.53,23196.5,always,1409.48,14.06,15.13,17.89,14.11,38.81,3261.43,3509.63,4149.85,3273.03,9002.56
112,Aurelie,Roux,female,aurelie.roux424.fr@gmail.com,"85 Rue de Passy, Lyon",fr,gen_z,top_25,92926.8,3717.07,once,53.76,46.5,11.11,25.55,6.51,10.33,1728.44,412.97,949.71,241.98,383.97
113,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,fr,boomer,bottom_50,376805.98,37680.6,often,12.78,75.22,1.51,13.31,9.96,0.0,28343.35,568.98,5015.29,3752.99,0.0
114,Mia,Davies,female,mia.davies306.uk@gmail.com,"146 Mill Lane, Manchester",uk,gen_z,top_10,256768.35,3209.6,once,270.78,29.61,15.63,29.82,5.4,19.54,950.36,501.66,957.1,173.32,627.16
115,Wilma,Lindstrom,female,wilma.lindstrom664.se@gmail.com,"66 Drottninggatan, Stockholm",swe,millennial,bottom_50,93228.24,9322.82,once,15.64,72.69,8.21,15.76,3.34,0.0,6776.76,765.4,1469.28,311.38,0.0
116,Ava,Harris,female,ava.harris144.uk@gmail.com,"123 Park Rd, Leeds",uk,millennial,top_10,1181507.08,14768.84,always,268.3,35.52,11.54,22.47,13.54,16.93,5245.89,1704.32,3318.56,1999.7,2500.36
117,Bo,Zhou,male,bo.zhou164.cn@gmail.com,"104 Xinhua St, Chengdu",china,millennial,bottom_50,37900.72,3790.07,sometimes,5.23,80.24,11.87,7.83,0.06,0.0,3041.15,449.88,296.76,2.27,0.0
118,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,fr,boomer,top_25,1208588.86,48343.55,sometimes,48.75,54.44,3.92,16.89,7.91,16.84,26318.23,1895.07,8165.23,3823.97,8141.05
